id,database_name,table_name,is_exists_id,max_id,column_identifier,values,list_of_column,last_sync_at
1,bb_customer,cpr_trx_saldo,1,17667394,DATE_MODIFIED,2023-10-18 05:55:10,"ID,PAYMENT_METHOD,CPR_TRX_SUBSCRIBER_ID,SALDO_TYPE,INVOICE_NUMBER,TRN_CODE,TRN_NO,TRN_DATE,AMOUNT,KD_DB_KR,END_BALANCE,DESCRIPTION,DATE_CREATED,CREATED_BY,DATE_MODIFIED,MODIFIED_BY,ADM_MST_SITE_ID,REMARKS,CURRENCY,REFF_NUMBER,ACC_PAYMENT_GATEWAY,WSC_TRX_PAYMENT_ID,VOU_TRX_WIBO_VOUCHER_ID",2023-10-18 06:22:28
2,bb_useradmin,adm_trx_log_user_access_v2,1,102101531,,,"ID,ADM_MST_USER_ID,IP_ADDRESS,USERAGENT,BROWSER_TYPE,BROWSER_VERSION,OS_TYPE,OS_VERSION,APP_TYPE,REMARKS,DATE_CREATED,CREATED_BY,CPR_TRX_SUBSCRIBER_ID,URL,SAPI_NAME,EMP_ID,ACCESSED_FROM",2023-10-18 09:05:40
3,bb_customer,radacct_log_v2,1,117187654,,,"RADACCTID,ACCTSESSIONID,ACCTUNIQUEID,USERNAME,GROUPNAME,REALM,NASIPADDRESS,NASIDENTIFIER,NASPORTID,NASPORTTYPE,ACCTSTARTTIME,ACCTSTOPTIME,ACCTSESSIONTIME,ACCTAUTHENTIC,CONNECTINFO_START,CONNECTINFO_STOP,ACCTINPUTOCTETS,ACCTOUTPUTOCTETS,CALLEDSTATIONID,CALLINGSTATIONID,ACCTTERMINATECAUSE,SERVICETYPE,FRAMEDPROTOCOL,FRAMEDIPADDRESS,ACCTSTARTDELAY,ACCTSTOPDELAY,XASCENDSESSIONSVRKEY,VOUCHER_CREATED,ACCTUPDATETIME,ACCTINTERVAL",2023-10-18 07:59:51
